,genre_ids,overview,title,Western,Romance,Horror,TV Movie,Fantasy,Drama,Science Fiction,War,Music,History,Thriller,Comedy,Crime,Mystery,Action,Animation,Family,Adventure
11,"['Drama', 'Action', 'Crime', 'Thriller']","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",The Dark Knight,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
12,"['Comedy', 'Fantasy']","70-year-old Malena gets a second chance at life when she magically turns into her 22-year-old self. Now, posing as ""Maria"" to hide her true identity, she becomes the lead singer of her grandson's band and tries to recover her dream of singing, which she had to give up at some point.",Cuando Sea Joven,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13,"['Thriller', 'Crime']","A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",Pulp Fiction,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
14,"['Comedy', 'Drama', 'Romance']","A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",Forrest Gump,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
15,['Western'],"While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.","The Good, the Bad and the Ugly",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"['Adventure', 'Fantasy', 'Action']","Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",The Lord of the Rings: The Return of the King,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
17,"['Action', 'Adventure', 'Animation', 'Drama']","Genndy Tartakovsky's Primal: Tales of Savagery features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival.",Primal: Tales of Savagery,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
18,"['Drama', 'Crime']","The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",GoodFellas,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
19,"['Drama', 'Romance']","A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",Cinema Paradiso,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,"['Action', 'Drama']","A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",Seven Samurai,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
21,"['Romance', 'Animation']","Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.",Dou kyu sei – Classmates,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,['Romance'],"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",Gabriel's Inferno,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"['Comedy', 'Drama']",A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,Life Is Beautiful,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
24,"['Animation', 'Drama', 'War']","In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",Grave of the Fireflies,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
25,"['Animation', 'Family', 'Adventure', 'Fantasy']","The unlikely friendship of a boy, a mole, a fox and a horse traveling together in the boy’s search for home.","The Boy, the Mole, the Fox and the Horse",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
26,"['Horror', 'Drama', 'Thriller']","When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",Psycho,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
27,"['Animation', 'Fantasy', 'Action']","When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.",The Legend of Hei,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
28,['Romance'],"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",Gabriel's Inferno: Part II,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,"['Drama', 'Crime']","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",Once Upon a Time in America,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
30,"['Drama', 'Thriller', 'Comedy']","A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",Fight Club,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
31,"['Family', 'Drama']","Matilde is a woman who, after the death of her husband - a man who constantly abused her - finds her new best friend in Miguel, her young, insecure, disoriented and even dealer neighbor",Impossible Things,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
32,"['Romance', 'Drama']","Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",My Fault,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,"['Drama', 'Crime']","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",City of God,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
34,['Drama'],"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",One Flew Over the Cuckoo's Nest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,"['Romance', 'Comedy']",The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,Gabriel's Inferno: Part III,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,"['Action', 'Drama', 'History']","Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",Harakiri,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
37,"['Animation', 'Comedy', 'Romance']","When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",The Quintessential Quintuplets Movie,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
38,"['Action', 'Adventure', 'Animation', 'Science Fiction']","Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",Spider-Man: Into the Spider-Verse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
39,"['Adventure', 'Drama', 'Science Fiction']",The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,Interstellar,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
40,"['Fantasy', 'Animation', 'Adventure']","Sophie, a young milliner is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",Howl's Moving Castle,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
41,"['Adventure', 'Fantasy', 'Action']","Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",The Lord of the Rings: The Fellowship of the Ring,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
42,"['Animation', 'Drama']","Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",A Silent Voice: The Movie,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
43,"['Adventure', 'Action', 'Science Fiction']","The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",The Empire Strikes Back,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
44,"['Romance', 'Animation', 'Fantasy']","One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",Hotarubi no Mori e,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
45,"['Comedy', 'Drama', 'Fantasy']","The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",A Dog's Will,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
46,"['Drama', 'War']","The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",The Pianist,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
47,['Drama'],"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",Hope,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,"['Adventure', 'Fantasy', 'Action']","Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",The Lord of the Rings: The Two Towers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
49,"['Drama', 'Music']","Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",Whiplash,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50,['Music'],"Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.",Taylor Swift: Reputation Stadium Tour,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,"['Crime', 'Mystery', 'Thriller']","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",Se7en,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
52,"['Animation', 'Drama', 'Romance']","With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.","Josee, the Tiger and the Fish",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
53,"['Action', 'Science Fiction', 'Adventure']","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",Inception,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
54,"['Thriller', 'Mystery']",A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,Rear Window,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
55,['Drama'],"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",Ikiru,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,['Drama'],A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,Sunset Boulevard,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,['Drama'],"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",American History X,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,"['Animation', 'Science Fiction', 'Action']","The second of two theatrically released follow-ups to the Neon Genesis Evangelion series. Comprising of two alternate episodes which were first intended to take the place of episodes 25 and 26, this finale answers many of the questions surrounding the series, while also opening up some new possibilities.",Neon Genesis Evangelion: The End of Evangelion,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
59,"['Crime', 'Drama', 'Thriller']","Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",The Silence of the Lambs,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
60,"['Comedy', 'War']",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,The Great Dictator,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
61,"['Adventure', 'Fantasy', 'Animation']","Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",Princess Mononoke,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
62,"['Crime', 'Drama', 'Mystery', 'Thriller']",A shoe company executive who has mortgaged everything he has becomes a victim of extortion when his chauffeur's son is kidnapped and is conflicted over whether he should pay the ransom.,High and Low,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
63,"['Romance', 'Drama']","Yeon-du asks her best friend Bora to collect all the information she can about Baek Hyun-jin while she is away in the U.S. for heart surgery. Bora decides to get close to Baek's best friend, Pung Woon-ho first. However, Bora's clumsy plan unfolds in an unexpected direction. In 1999, a year before the new century, Bora, who turns seventeen, falls into the fever of first love.",20th Century Girl,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64,"['Comedy', 'Romance', 'Drama']","In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.",City Lights,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
65,"['Animation', 'Fantasy', 'Romance', 'Drama']","As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",Violet Evergarden: The Movie,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
66,"['Crime', 'Drama', 'Action']","Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",Léon: The Professional,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
67,['Drama'],"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",Dead Poets Society,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
68,"['Drama', 'Comedy']","The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",Dedicated to my ex,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
69,"['Adventure', 'Comedy', 'Science Fiction']","Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",Back to the Future,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
70,"['Music', 'Drama', 'Romance']","Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",Clouds,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
71,"['Drama', 'Thriller']",An entomologist suffers extreme psychological and sexual torture after being taken captive by the residents of a poor seaside village.,Woman in the Dunes,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72,"['Drama', 'Romance']","A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",Life in a Year,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,['Music'],Shot at the Olympic Stadium in Seoul during the BTS World Tour ‘Love Yourself’ to celebrate the seven members of the global boyband and their unprecedented international phenomenon.,BTS World Tour: Love Yourself in Seoul,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
74,"['Drama', 'War']","The invasion of a village in Byelorussia by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.",Come and See,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
75,"['Comedy', 'Drama']",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Modern Times,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
76,"['Drama', 'Music']",Short film featuring the extended version of the song “All Too Well” by Taylor Swift. A troubled couple's romance blossoms before it eventually falls apart.,All Too Well: The Short Film,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
77,"['Romance', 'Drama']","Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",Five Feet Apart,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
78,"['Comedy', 'Drama', 'Romance']","Two employees at a gift shop can barely stand one another, without realising that they are falling in love through the post as each other's anonymous pen pal.",The Shop Around the Corner,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
79,"['Drama', 'Western']","As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",Once Upon a Time in the West,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80,"['Animation', 'Family', 'Fantasy', 'Adventure', 'Comedy']","Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",Puss in Boots: The Last Wish,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1
81,"['Animation', 'Action', 'Science Fiction', 'Drama']","In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each lives a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.",Evangelion: 3.0+1.0 Thrice Upon a Time,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
82,"['Animation', 'Drama', 'Music', 'Romance']","The relationship between a band's bassist, their drummer, and the drummer’s roommate and ex-boyfriend, who is a professional violinist.",Given,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
83,"['Animation', 'Thriller']","Pop singer Mima Kirigow looks forward to a bright new career when she quits her chart-topping trio to become an actress. When she lands a role in a sexually charged murder mystery, Mima’s life begins to fall apart.",Perfect Blue,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
84,"['Crime', 'Drama', 'Thriller', 'History']","Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system -- yet their escape is anything but assured.",Le Trou,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
85,"['Action', 'Drama']","After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",Top Gun: Maverick,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
86,"['Drama', 'War']","At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",Apocalypse Now,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
87,"['Animation', 'Action', 'Science Fiction']","Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.",Justice League Dark: Apokolips War,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
